baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Omics Group Pair,Probe Name,Gene Symbol,Omics Group 1,Omics Group 2
217.5209909,0.627141289,0.215416215,2.97157769,0.002962739,0.019576994,121_vs_120,COPS5_1497,COPS5,121,120
193.6901488,-0.714480572,0.238490131,-3.049117227,0.002295149,0.015641016,121_vs_120,COPZ1_1499,COPZ1,121,120
19.88736382,-0.60349653,0.481449141,-1.369534563,0.170832238,0.373178734,121_vs_120,COX6B1_1519,COX6B1,121,120
17.30754446,0.673371341,0.472099007,1.513218036,0.130224284,0.312120729,121_vs_120,CPOX_28209,CPOX,121,120
51.74518984,0.664607009,0.260411211,2.614695758,0.008930697,0.04516327,121_vs_120,CREB1_28364,CREB1,121,120
28.65726258,-0.530473908,0.402306575,-1.357288035,0.174689708,0.378783122,121_vs_120,CRK_1571,CRK,121,120
723.4308315,0.590473245,0.250164285,2.396496728,0.016552641,0.071340393,121_vs_120,CTNNB1_1633,CTNNB1,121,120
69.40129413,0.75259903,0.330985701,2.351963588,0.018674603,0.078230561,121_vs_120,DAAM1_13274,DAAM1,121,120
11.5213072,0.825375107,0.707233762,1.358225576,0.174392117,0.37853534,121_vs_120,DAPK1_1752,DAPK1,121,120
373.9550487,0.654292997,0.259810075,2.572737654,0.010089766,0.049154215,121_vs_120,DAXX_1756,DAXX,121,120
857.7515466,-0.739876844,0.475996213,-1.647207193,0.099515466,0.261274903,121_vs_120,DCN_27099,DCN,121,120
43.68692052,0.667169835,0.330661083,2.079987629,0.037526668,0.132983391,121_vs_120,DCUN1D4_1795,DCUN1D4,121,120
41.0578951,0.654909153,0.418042625,1.639287856,0.101153324,0.264147108,121_vs_120,DDX10_1808,DDX10,121,120
36.2045811,-0.543178604,0.405103237,-1.475415656,0.140100829,0.324299443,121_vs_120,DEPDC1B_1847,DEPDC1B,121,120
290.9716117,0.724402872,0.206484784,3.594603365,0.000324886,0.003292914,121_vs_120,DERA_28317,DERA,121,120
34.64313394,-0.684588942,0.333380709,-2.043338159,0.041018975,0.141788132,121_vs_120,DFFB_1853,DFFB,121,120
11.66319717,-0.702480209,0.583760513,-1.34988149,0.177054,0.382232101,121_vs_120,DHFR_18547,DHFR,121,120
